,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
9333,Q9NV58,RNF19A,0.43590948,0.289527338,0.415454029,,2.154409799
9334,Q9NV70,EXOC1,0.70189077,0.415448379,0.951845028,1.0,2.297744893
9335,Q9NV96,TMEM30A,0.6589548,0.400324932,0.999705169,1.0,3.777222037
9336,Q9NVA1,UQCC1,0.34783337,0.222461359,0.567527655,,1.734177414
9337,Q9NVA2,SEPTIN11,0.97397524,0.999983245,0.999258443,1.0,1.971670081
9338,Q9NVC3,SLC38A7,0.9246843,0.97327224,0.22490997,0.0,3.380930204
9339,Q9NVC6,MED17,0.4026815,0.156595833,0.392378435,,2.133135558
9340,Q9NVE4,CCDC87,0.34776548,0.434914079,0.289050745,0.0,0.658571466
9341,Q9NVE5,USP40,0.74954957,0.545246623,0.70686094,1.0,2.329551973
9342,Q9NVE7,PANK4,0.6415978,0.811952142,0.827635996,1.0,0.018452535
9343,Q9NVF7,FBXO28,0.39547217,0.213855023,0.472000343,,2.097142921
9344,Q9NVF9,ETNK2,0.28675023,0.166477035,0.050632515,0.0,0.485618152
9345,Q9NVG8,TBC1D13,0.8079503,0.801786088,0.802288102,1.0,2.434065974
9346,Q9NVH0,EXD2,0.77603215,0.73986318,0.806356088,1.0,1.528620085
9347,Q9NVH1,DNAJC11,0.9750469,0.999866797,0.954816556,1.0,2.763329674
9348,Q9NVI1,FANCI,0.5282728,0.298148252,0.679862786,,2.682435926
9349,Q9NVI7,ATAD3A,0.7212466,0.46045619,0.999835745,1.0,3.572788671
9350,Q9NVJ2,ARL8B,0.97397566,0.999998884,0.999995844,1.0,2.351435481
9351,Q9NVK5,FGFR1OP2,0.9589711,0.894455223,0.822331977,1.0,2.775017788
9352,Q9NVL8,CCDC198,0.42424998,0.525404454,0.211967513,0.0,3.014869826
9353,Q9NVM4,PRMT7,0.6201985,0.327038364,0.361852693,,2.685755366
9354,Q9NVM6,DNAJC17,0.96636957,0.957654595,0.416521786,,1.776988231
9355,Q9NVM9,INTS13,0.50189346,0.199636806,0.782841075,1.0,3.327229219
9356,Q9NVN8,GNL3L,0.69349265,0.915561687,0.570907662,,2.568706534
9357,Q9NVP1,DDX18,0.9743089,0.972391994,0.942902966,1.0,4.343241158
9358,Q9NVP2,ASF1B,0.88609046,0.83387751,0.279686995,0.0,3.433160682
9359,Q9NVP4,DZANK1,0.8514149,0.872104631,0.770430072,1.0,0.610704227
9360,Q9NVR2,INTS10,0.55090874,0.276680928,0.868883831,1.0,3.809605436
9361,Q9NVR5,DNAAF2,0.52436686,0.225641716,0.34222768,,3.465610279
9362,Q9NVR7,TBCCD1,0.24621746,0.164762579,0.24129169,0.0,2.362675179
9363,Q9NVS9,PNPO,0.97335243,0.980028529,0.80015192,1.0,4.17732478
9364,Q9NVT9,ARMC1,0.9742933,0.999871977,0.850975525,1.0,2.468302834
9365,Q9NVU0,POLR3E,0.55768746,0.398875644,0.455298288,,3.760185233
9366,Q9NVV4,MTPAP,0.4110668,0.131651657,0.814076861,1.0,2.125560708
9367,Q9NVW2,RLIM,0.4238478,0.202490268,0.156090406,0.0,3.702694068
9368,Q9NVX0,HAUS2,0.97250915,0.998404946,0.294085045,0.0,3.000761779
9369,Q9NVX2,NLE1,0.72692937,0.690599672,0.637263906,,3.281708107
9370,Q9NVZ3,NECAP2,0.97432613,0.999924179,0.780484494,1.0,3.044509605
9371,Q9NW08,POLR3B,0.4330704,0.133757879,0.601700502,,0.959572419
9372,Q9NW13,RBM28,0.46012777,0.129965135,0.753893772,1.0,3.497465007
9373,Q9NW64,RBM22,0.9687884,0.949855673,0.39260133,,4.214316957
9374,Q9NW75,GPATCH2,0.71300685,0.676968809,0.451898751,,0.675852382
9375,Q9NWB1,RBFOX1,0.44402114,0.547891714,0.381086949,,0.000815535
9376,Q9NWD8,TMEM248,0.34131306,0.17423034,0.138607338,0.0,4.207199074
9377,Q9NWH7,SPATA6,0.2766252,0.224129303,0.45441446,,0.66542222
9378,Q9NWH9,SLTM,0.97349983,0.948358929,0.968191656,1.0,3.885251843
9379,Q9NWM0,SMOX,0.34996927,0.189948135,0.219640712,0.0,1.954480649
9380,Q9NWM3,CUEDC1,0.95161444,0.987703138,0.176097589,0.0,2.039901897
9381,Q9NWM8,FKBP14,0.74806917,0.555124464,0.405328531,,3.509589122
9382,Q9NWN3,FBXO34,0.25118804,0.210574808,0.512943838,,1.32261509
9383,Q9NWQ8,PAG1,0.92361057,0.804922537,0.629124467,,0.966893279
9384,Q9NWS0,PIH1D1,0.9787218,0.985657209,0.808220646,1.0,4.74249077
9385,Q9NWS8,RMND1,0.21567143,0.259204062,0.830477031,1.0,1.345949033
9386,Q9NWT6,HIF1AN,0.8465523,0.719013983,0.455805266,,2.57629414
9387,Q9NWU1,OXSM,0.9130627,0.822970019,0.8325608,1.0,2.465596308
9388,Q9NWU2,GID8,0.96733755,0.999850733,0.999513859,1.0,4.806026861
9389,Q9NWV4,CZIB,0.9755813,0.999988034,0.785961064,1.0,4.02754097
9390,Q9NWV8,BABAM1,0.9710117,0.989441069,0.625313244,,3.652086097
9391,Q9NWW7,C2orf42,0.41794607,0.528199386,0.284284844,0.0,0.801925162
9392,Q9NWX5,ASB6,0.33568895,0.142133444,0.292998211,0.0,4.115599356
9393,Q9NWZ3,IRAK4,0.9722384,0.947279067,0.915464967,1.0,2.710078643
9394,Q9NWZ5,UCKL1,0.57520944,0.344442648,0.683584987,,3.956658695
9395,Q9NX00,TMEM160,0.28830588,0.131316831,0.55166134,,5.033712567
9396,Q9NX02,NLRP2,0.80635977,0.826148529,0.696160551,,0.0
9397,Q9NX05,FAM120C,0.52126735,0.226810722,0.299694003,0.0,1.207048838
9398,Q9NX07,TRNAU1AP,0.63133967,0.368708868,0.059792318,0.0,2.165056661
9399,Q9NX08,COMMD8,0.9589391,0.893902975,0.69407809,,2.030112641
9400,Q9NX09,DDIT4,0.7071799,0.6011359,0.142682025,0.0,7.025033435
9401,Q9NX14,NDUFB11,0.70204395,0.437388512,0.999779985,1.0,5.722095877
9402,Q9NX31,OSER1,0.17826365,0.19102317,0.239874125,0.0,4.231268751
9403,Q9NX36,DNAJC28,0.60945225,0.330639349,0.301745388,,0.0
9404,Q9NX40,OCIAD1,0.97211933,0.999986102,0.999985571,1.0,2.862931828
9405,Q9NX45,SOHLH2,0.19462521,0.293174615,0.450549149,,0.443730385
9406,Q9NX46,ADPRS,0.9755029,0.997060333,0.984851913,1.0,4.356871164
9407,Q9NX55,HYPK,0.9770577,0.998506252,0.718128785,1.0,3.553607247
9408,Q9NX61,TMEM161A,0.5867182,0.514027326,0.673635582,,3.032659813
9409,Q9NX63,CHCHD3,0.9725585,0.956336783,0.999997008,1.0,1.477613918
9410,Q9NX65,ZSCAN32,0.16184963,0.155873219,0.468952624,,2.244263578
9411,Q9NX74,DUS2,0.5883043,0.402285567,0.268305107,0.0,1.527540886
9412,Q9NX76,CMTM6,0.49866787,0.248980465,0.997453284,1.0,3.717128891
9413,Q9NX78,TMEM260,0.64541596,0.818681756,0.381530799,,0.773386318
9414,Q9NXA8,SIRT5,0.454808,0.137910558,0.427491538,,1.289113779
9415,Q9NXB0,MKS1,0.87624025,0.892803852,0.524525365,,2.553308027
9416,Q9NXC5,MIOS,0.39296398,0.150093419,0.715687984,1.0,2.635320606
9417,Q9NXD2,MTMR10,0.43592095,0.265123,0.658199955,,0.597260626
9418,Q9NXE4,SMPD4,0.7774858,0.564560947,0.999817413,1.0,3.587653724
9419,Q9NXF1,TEX10,0.94758415,0.908643842,0.789822955,1.0,1.925518477
9420,Q9NXG0,CNTLN,0.4397234,0.265084512,0.35199805,,0.231693289
9421,Q9NXG2,THUMPD1,0.97258806,0.957185864,0.751153789,1.0,3.00416584
9422,Q9NXH8,TOR4A,0.9408829,0.902602565,0.53831841,,5.432004323
9423,Q9NXK8,FBXL12,0.35950297,0.131050773,0.39226776,,3.052243594
9424,Q9NXL2,ARHGEF38,0.7300902,0.602191532,0.40839052,,1.060781214
9425,Q9NXL9,MCM9,0.7243808,0.674751618,0.406924402,,0.92308394
9426,Q9NXN4,GDAP2,0.44828498,0.223831178,0.408209292,,1.571582193
9427,Q9NXR1,NDE1,0.972572,0.982329458,0.875985607,1.0,0.003672223
9428,Q9NXV6,CDKN2AIP,0.9550288,0.902194954,0.72571732,1.0,4.305847348
9429,Q9NXW2,DNAJB12,0.9594351,0.87130463,0.826106079,1.0,3.236459415
9430,Q9NXW9,ALKBH4,0.94402593,0.998835565,0.203459918,0.0,3.068623001
9431,Q9NXX6,NSMCE4A,0.8023101,0.646635997,0.527055705,,3.556784219
9432,Q9NXZ2,DDX43,0.54306215,0.261724192,0.453017817,,0.043420332
9433,Q9NY15,STAB1,0.5306876,0.446257521,0.663281472,,5.614951122
9434,Q9NY27,PPP4R2,0.9756108,0.993268646,0.743978149,1.0,2.1228126
9435,Q9NY28,GALNT8,0.48819467,0.521147672,0.373214892,,0.169001131
9436,Q9NY33,DPP3,0.9739196,0.99814633,0.999998507,1.0,3.246074961
9437,Q9NY37,ASIC5,0.14972758,0.134142661,0.247675085,0.0,0.0
9438,Q9NY46,SCN3A,0.54127425,0.595405275,0.70433224,1.0,0.21709808
9439,Q9NY47,CACNA2D2,0.36556002,0.316388391,0.402631439,,0.157846295
9440,Q9NY56,OBP2A,0.2934816,0.371266552,0.283861637,0.0,0.0
9441,Q9NY59,SMPD3,0.77198577,0.678536896,0.507132602,,1.300314932
9442,Q9NY64,SLC2A8,0.42155486,0.247594932,0.307438291,,4.002470124
9443,Q9NY65,TUBA8,0.9731651,0.999999987,0.999999999,1.0,0.161001924
